mondo_id	description
MONDO:0003465	fibrous synovial sarcoma
MONDO:0003466	spindle cell synovial sarcoma
MONDO:0003467	mediastinum synovial sarcoma
MONDO:0003468	biphasic synovial sarcoma
MONDO:0003469	epithelioid cell synovial sarcoma
MONDO:0003473	spinal cord ependymoma
MONDO:0003477	brain stem ependymoma
MONDO:0003480	pineal region dysgerminoma
MONDO:0003481	dysgerminoma of ovary
MONDO:0003486	basaloid squamous cell carcinoma
MONDO:0003487	pseudoglandular squamous cell carcinoma
MONDO:0003490	ampulla of vater squamous cell carcinoma
MONDO:0003492	lacrimal gland squamous cell carcinoma
MONDO:0003493	thymus squamous cell carcinoma
MONDO:0003494	ovarian squamous cell carcinoma
MONDO:0003497	renal pelvis squamous cell carcinoma
MONDO:0003499	sarcomatoid squamous cell skin carcinoma
MONDO:0003500	squamous cell bile duct carcinoma
MONDO:0003501	external ear squamous cell carcinoma
MONDO:0003502	ureter squamous cell carcinoma
MONDO:0003503	fallopian tube squamous cell carcinoma
MONDO:0003504	anal canal neuroendocrine neoplasm
MONDO:0003505	femoral cancer
MONDO:0003506	pulmonary artery choriocarcinoma
MONDO:0003507	choriocarcinoma of ovary
MONDO:0003508	choriocarcinoma of testis
MONDO:0003509	pineal region choriocarcinoma
MONDO:0003510	malignant testicular germ cell tumor
MONDO:0003514	malignant teratoma
MONDO:0003519	malignant syringoma
MONDO:0003531	papillary eccrine carcinoma
MONDO:0003532	breast papillary carcinoma
MONDO:0003534	papillary thymic adenocarcinoma
MONDO:0003535	fallopian tube papillary adenocarcinoma
MONDO:0003544	spinal cord cancer
MONDO:0003548	adenosquamous breast carcinoma
MONDO:0003549	adenosquamous bile duct carcinoma
MONDO:0003550	esophageal adenosquamous carcinoma
MONDO:0003551	thymic adenosquamous carcinoma
MONDO:0003553	ampulla of vater adenosquamous carcinoma
MONDO:0003554	adenosquamous colon carcinoma
MONDO:0003555	Bartholin gland adenosquamous carcinoma
MONDO:0003556	endometrial adenosquamous carcinoma
MONDO:0003558	adenosquamous prostate carcinoma
MONDO:0003561	malignant giant cell tumor of soft parts
MONDO:0003570	lipid-rich carcinoma
MONDO:0003572	nasopharyngeal type undifferentiated carcinoma
MONDO:0003573	pleomorphic carcinoma
MONDO:0003574	external ear cancer
MONDO:0003575	comedocarcinoma
MONDO:0003578	extragonadal nonseminomatous germ cell tumor
MONDO:0003581	ovarian embryonal carcinoma
MONDO:0003585	adult liposarcoma
MONDO:0003586	esophagus liposarcoma
MONDO:0003587	pediatric liposarcoma
MONDO:0003588	larynx liposarcoma
MONDO:0003589	liposarcoma of the ovary
MONDO:0003590	fibroblastic liposarcoma
MONDO:0003591	kidney liposarcoma
MONDO:0003592	gastric liposarcoma
MONDO:0003593	breast liposarcoma
MONDO:0003594	mixed liposarcoma
MONDO:0003595	sclerosing liposarcoma
MONDO:0003596	spindle cell liposarcoma
MONDO:0003599	vulvar liposarcoma
MONDO:0003600	cutaneous liposarcoma
MONDO:0003601	mediastinum liposarcoma
MONDO:0003602	intracranial liposarcoma
MONDO:0003606	adrenal medulla cancer
MONDO:0003612	uterine ligament cancer
MONDO:0003624	acinic cell breast carcinoma
MONDO:0003626	uterine ligament serous adenocarcinoma
MONDO:0003630	pancreatic serous cystadenocarcinoma
MONDO:0003631	cervical serous adenocarcinoma
MONDO:0003633	malignant mesenchymoma
MONDO:0003635	sebaceous breast carcinoma
MONDO:0003636	vulvar sebaceous carcinoma
MONDO:0003638	lung meningioma
MONDO:0003650	mixed hepatoblastoma
MONDO:0003651	macrotrabecular hepatoblastoma
MONDO:0003654	childhood parosteal osteosarcoma
MONDO:0003655	cerebral lymphoma
MONDO:0003659	pediatric lymphoma
MONDO:0003661	breast lymphoma
MONDO:0003663	uterine ligament endometrioid adenocarcinoma
MONDO:0003665	cervical endometrioid adenocarcinoma
MONDO:0003666	fallopian tube endometrioid adenocarcinoma
MONDO:0003668	extragonadal seminoma
MONDO:0003669	testicular seminoma
MONDO:0003680	periosteal chondrosarcoma
MONDO:0003681	myxoid chondrosarcoma
MONDO:0003682	localized chondrosarcoma
MONDO:0003684	clear cell chondrosarcoma
MONDO:0003687	endocardium cancer
MONDO:0003690	adult anaplastic ependymoma
MONDO:0003691	childhood malignant mesenchymoma
MONDO:0003692	adult malignant mesenchymoma
MONDO:0003697	non-invasive verrucous carcinoma of the penis
MONDO:0003698	penis verrucous carcinoma
MONDO:0003701	thyroid gland diffuse sclerosing papillary carcinoma
MONDO:0003705	adult brainstem mixed glioma
MONDO:0003706	adult brainstem astrocytoma
MONDO:0003707	distal biliary tract carcinoma
MONDO:0003708	extrahepatic bile duct small cell adenocarcinoma
MONDO:0003710	ovarian mixed germ cell neoplasm
MONDO:0003714	bladder urachal squamous cell carcinoma
MONDO:0003715	bladder urachal carcinoma
MONDO:0003716	renal pelvis papillary urothelial carcinoma
MONDO:0003720	kidney fibrosarcoma
MONDO:0003721	kidney osteogenic sarcoma
MONDO:0003728	breast fibrosarcoma
MONDO:0003737	malignant testicular Leydig cell tumor
MONDO:0003742	heart fibrosarcoma
MONDO:0003744	spindle cell intraocular melanoma
MONDO:0003745	choroid spindle cell melanoma
MONDO:0003746	ciliary body spindle cell melanoma
MONDO:0003759	childhood ovarian yolk sac tumor
MONDO:0003761	leptomeningeal melanoma
MONDO:0003762	malignant leptomeningeal tumor
MONDO:0003764	pediatric leptomeningeal melanoma
MONDO:0003765	adult leptomeningeal melanoma
MONDO:0003766	thalamic cancer
MONDO:0003768	signet ring cell variant cervical mucinous adenocarcinoma
MONDO:0003772	cerebral meningioma
MONDO:0003773	intracerebral cystic meningioma
MONDO:0003774	cerebral convexity meningioma
MONDO:0003775	lateral ventricle meningioma
MONDO:0003782	uterine corpus epithelioid leiomyosarcoma
MONDO:0003784	nasal cavity carcinoma in situ
MONDO:0003786	childhood testicular choriocarcinoma
MONDO:0003787	childhood testicular mixed germ cell cancer
MONDO:0003788	childhood embryonal testis carcinoma
MONDO:0003789	hereditary papillary renal cell carcinoma
MONDO:0003790	prostatic urethra urothelial carcinoma
MONDO:0003791	prostatic urethral cancer
MONDO:0003792	ovarian carcinosarcoma
MONDO:0003795	ovarian small cell carcinoma
MONDO:0003796	rectum Kaposi sarcoma
MONDO:0003802	cornea cancer
MONDO:0003805	malignant pericardial mesothelioma
MONDO:0003808	mediastinal extraskeletal osteosarcoma
MONDO:0003810	bladder diffuse clear cell adenocarcinoma
MONDO:0003812	ovarian endometrial cancer
MONDO:0003826	mediastinum seminoma
MONDO:0003828	growth hormone-producing pituitary gland carcinoma
MONDO:0003834	gastric cardia carcinoma
MONDO:0003835	gastric cardia adenocarcinoma
MONDO:0003839	ovarian mucinous adenocarcinofibroma
MONDO:0003849	clivus chordoma
MONDO:0003850	clivus chondroid chordoma
MONDO:0003853	Bartholin gland adenocarcinoma
MONDO:0003857	adult intracranial malignant hemangiopericytoma
MONDO:0003861	vulvar eccrine adenocarcinoma
MONDO:0003862	melanotic psammomatous malignant peripheral nerve sheath tumor
MONDO:0003863	malignant melanocytic neoplasm of the peripheral nerve sheath
MONDO:0003865	acral lentiginous melanoma
MONDO:0003866	liver extraskeletal osteosarcoma
MONDO:0003867	diffuse meningeal melanocytosis
MONDO:0003869	childhood brain stem glioma
MONDO:0003870	childhood brainstem astrocytoma
MONDO:0003874	ovarian serous surface papillary adenocarcinoma
MONDO:0003876	eyelid carcinoma
MONDO:0003878	malignant choroid melanoma
MONDO:0003879	ovarian endometrioid adenocarcinofibroma
MONDO:0003880	ceruminous carcinoma
MONDO:0003881	vulvar apocrine adenocarcinoma
MONDO:0003882	central nervous system fibrosarcoma
MONDO:0003888	childhood testicular mixed embryonal carcinoma and teratoma
MONDO:0003889	infiltrating bladder urothelial carcinoma, clear cell variant
MONDO:0003890	infiltrating bladder urothelial carcinoma
MONDO:0003891	bladder signet ring cell adenocarcinoma
MONDO:0003892	acinar lung adenocarcinoma
MONDO:0003895	periosteal osteogenic sarcoma
MONDO:0003898	pediatric myxoid chondrosarcoma
MONDO:0003899	adult myxoid chondrosarcoma
MONDO:0003904	lung occult squamous cell carcinoma
MONDO:0003905	ovarian yolk sac tumor, glandular pattern
MONDO:0003906	ovarian yolk sac tumor, hepatoid pattern
MONDO:0003907	ovarian yolk sac tumor, polyvesicular vitelline pattern
MONDO:0003910	mixed cell uveal melanoma
MONDO:0003911	ciliary body mixed cell melanoma
MONDO:0003912	malignant ciliary body melanoma
MONDO:0003913	choroid mixed cell melanoma
MONDO:0003917	heart lymphoma
MONDO:0003922	ovarian clear cell malignant adenofibroma
MONDO:0003927	posterior uveal melanoma
MONDO:0003928	uterine corpus myxoid leiomyosarcoma
MONDO:0003930	non-invasive bladder urothelial carcinoma
MONDO:0003931	childhood optic tract astrocytoma
MONDO:0003933	chest wall bone cancer
MONDO:0003934	breast apocrine carcinoma
MONDO:0003935	oncocytic breast carcinoma
MONDO:0003936	invasive tubular breast carcinoma
MONDO:0003938	bladder colonic type adenocarcinoma
MONDO:0003941	classic variant of chromophobe renal cell carcinoma
MONDO:0003942	eosinophilic variant of chromophobe renal cell carcinoma
MONDO:0003950	nipple carcinoma
MONDO:0003952	adult central nervous system choriocarcinoma
MONDO:0003953	pediatric CNS choriocarcinoma
MONDO:0003957	adult pineoblastoma
MONDO:0003959	breast large cell neuroendocrine carcinoma
MONDO:0003960	pulmonary large cell neuroendocrine carcinoma
MONDO:0003966	testicular monophasic choriocarcinoma
MONDO:0003967	synchronous multifocal osteogenic sarcoma
MONDO:0003968	asynchronous multifocal osteogenic sarcoma
MONDO:0003970	gastric fundus carcinoma
MONDO:0003971	gastric pylorus carcinoma
MONDO:0003972	gastric body carcinoma
MONDO:0003973	tubular variant testicular seminoma
MONDO:0003975	Littre gland carcinoma
MONDO:0003976	malignant type AB thymoma
MONDO:0003978	colon small cell neuroendocrine carcinoma
MONDO:0003982	bilateral breast carcinoma
MONDO:0003983	synchronous bilateral breast carcinoma
MONDO:0003985	chest wall lymphoma
MONDO:0003987	lung lymphoma
MONDO:0003988	sternum lymphoma
MONDO:0003989	polyembryoma of the ovary
MONDO:0003990	malignant breast myoepithelioma
MONDO:0003991	villoglandular endometrial endometrioid adenocarcinoma
MONDO:0003992	childhood botryoid rhabdomyosarcoma
MONDO:0003993	childhood vagina botryoid rhabdomyosarcoma
MONDO:0003994	botryoid-type embryonal rhabdomyosarcoma of the vagina
MONDO:0003995	vulvar childhood botryoid-type embryonal rhabdomyosarcoma
MONDO:0003997	colon Kaposi sarcoma
MONDO:0004009	kidney pelvis sarcomatoid transitional cell carcinoma
MONDO:0004010	infiltrating renal pelvis/ureter urothelial carcinoma
MONDO:0004012	adult botryoid rhabdomyosarcoma
MONDO:0004013	adult vagina botryoid embryonal rhabdomyosarcoma
MONDO:0004017	pineal region immature teratoma
MONDO:0004019	oxyphilic endometrial endometrioid adenocarcinoma
MONDO:0004020	mediastinal gray zone lymphoma
MONDO:0004021	mediastinal malignant lymphoma
MONDO:0004022	parasagittal meningioma
MONDO:0004024	spinal cord neuroblastoma
MONDO:0004028	small intestinal fibrosarcoma
MONDO:0004030	ureter transitional cell carcinoma
MONDO:0004032	ovarian seromucinous carcinoma
MONDO:0004034	eye lymphoma
MONDO:0004039	papillary extrahepatic bile duct adenocarcinoma
MONDO:0004045	pediatric intraocular retinoblastoma
MONDO:0004048	immature gastric teratoma
MONDO:0004050	telangiectatic osteogenic sarcoma
MONDO:0004051	aleukemic monocytic leukemia cutis
MONDO:0004052	rectal cloacogenic carcinoma
MONDO:0004053	bartholin gland squamous cell carcinoma
MONDO:0004056	bladder papillary urothelial carcinoma
MONDO:0004057	micropapillary variant infiltrating bladder urothelial carcinoma
MONDO:0004060	peripheral epithelioid sarcoma
MONDO:0004062	intermediate cell type uveal melanoma
MONDO:0004063	intermediate cell type iris melanoma
MONDO:0004064	iris melanoma
MONDO:0004065	intermediate cell type choroid melanoma
MONDO:0004066	intermediate cell type ciliary body melanoma
MONDO:0004067	gallbladder mucinous adenocarcinoma
MONDO:0004071	childhood cerebral astrocytoma
MONDO:0004078	mucinous intrahepatic cholangiocarcinoma
MONDO:0004080	glottis squamous cell carcinoma
MONDO:0004081	extrahepatic bile duct clear cell adenocarcinoma
MONDO:0004082	childhood immature teratoma of ovary
MONDO:0004083	Borst-Jadassohn intraepidermal carcinoma
MONDO:0004085	choroid epithelioid cell melanoma
MONDO:0004086	ciliary body epithelioid cell melanoma
MONDO:0004087	basaloid large cell lung carcinoma
MONDO:0004088	cervical basaloid carcinoma
MONDO:0004089	basaloid carcinoma of the penis
MONDO:0004090	vulvar basaloid squamous cell carcinoma
MONDO:0004091	skin basaloid carcinoma
MONDO:0004092	thymic basaloid carcinoma
MONDO:0004093	esophageal basaloid carcinoma
MONDO:0004098	malignant melanocytic peripheral nerve sheath tumor of mediastinum
MONDO:0004101	multicentric papillary thyroid carcinoma
MONDO:0004102	columnar cell variant thyroid gland papillary carcinoma
MONDO:0004103	tall cell variant thyroid gland papillary carcinoma
MONDO:0004104	splenic manifestation of hairy cell leukemia
MONDO:0004105	childhood epithelioid sarcoma
MONDO:0004106	testicular yolk sac tumor, macrocystic pattern
MONDO:0004107	splenic manifestation of leukemia
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma
MONDO:0004116	esophageal small cell neuroendocrine carcinoma
MONDO:0004117	ampulla of vater small cell neuroendocrine carcinoma
MONDO:0004120	Bartholin gland small cell carcinoma
MONDO:0004122	thymus small cell carcinoma
MONDO:0004124	prostate stromal sarcoma
MONDO:0004127	lung occult adenocarcinoma
MONDO:0004128	lung occult large cell carcinoma
MONDO:0004129	cloacogenic carcinoma
MONDO:0004130	anus basaloid carcinoma
MONDO:0004131	anal verrucous carcinoma
MONDO:0004132	anal canal squamous cell carcinoma
MONDO:0004140	intermediate malignant teratoma
MONDO:0004142	lung combined large cell neuroendocrine carcinoma
MONDO:0004148	gallbladder papillary neoplasm with an associated invasive carcinoma
MONDO:0004149	gallbladder pleomorphic giant cell adenocarcinoma
MONDO:0004151	spinal meninges cancer
MONDO:0004153	childhood central nervous system embryonal carcinoma
MONDO:0004155	adult central nervous system embryonal carcinoma
MONDO:0004156	pancreatic mucinous cystadenocarcinoma
MONDO:0004158	pancreatic mucinous-cystic neoplasm with an associated invasive carcinoma
MONDO:0004159	pancreatic non-invasive mucinous cystadenocarcinoma
MONDO:0004163	bladder urachal urothelial carcinoma
MONDO:0004164	lymphoepithelioma-like acinar prostate adenocarcinoma
MONDO:0004166	hereditary fallopian tube carcinoma
MONDO:0004168	cribriform variant testicular seminoma
MONDO:0004172	uterine corpus adenocarcinofibroma
MONDO:0004173	adenocarcinoma of skene gland origin
MONDO:0004174	secretory uterine corpus endometrioid adenocarcinoma
MONDO:0004175	mucin-rich endometrial endometrioid adenocarcinoma
MONDO:0004176	childhood extraosseous osteosarcoma
MONDO:0004178	testicular yolk sac tumor, endodermal sinus pattern
MONDO:0004182	stage IVb bladder cancer
MONDO:0004188	iris spindle cell melanoma
MONDO:0004192	urethra cancer
MONDO:0004193	pediatric ovarian dysgerminoma
MONDO:0004196	rectal sarcomatoid carcinoma
MONDO:0004197	male urethral cancer
MONDO:0004198	testicular yolk sac tumor, solid pattern
MONDO:0004199	vulvar keratinizing squamous cell carcinoma
MONDO:0004200	superficial urinary bladder carcinoma
MONDO:0004202	adrenal medulla carcinoma
MONDO:0004203	female urethral cancer
MONDO:0004205	lymphohistiocytoid mesothelioma
MONDO:0004206	pulmonary vein leiomyosarcoma
MONDO:0004207	pulmonary artery leiomyosarcoma
MONDO:0004208	superior vena cava leiomyosarcoma
MONDO:0004209	cerebral primitive neuroectodermal tumor
MONDO:0004212	vulvar keratoacanthoma-like carcinoma
MONDO:0004213	vulvar non-keratinizing squamous cell carcinoma
MONDO:0004216	pineal region germinoma
MONDO:0004217	childhood brain germinoma
MONDO:0004219	polyvesicular vitelline pattern testicular yolk sac tumor
MONDO:0004220	endometrial endometrioid adenocarcinoma with spindled epithelial cells
MONDO:0004222	ovarian clear cell cystadenocarcinoma
MONDO:0004229	acantholytic variant squamous cell breast carcinoma
MONDO:0004231	spindle cell variant squamous cell breast carcinoma
MONDO:0004232	large cell keratinizing variant squamous cell breast carcinoma
MONDO:0004233	childhood pleomorphic rhabdomyosarcoma
MONDO:0004237	large cell carcinoma with rhabdoid phenotype
MONDO:0004239	cervical keratinizing squamous cell carcinoma
MONDO:0004240	posterior urethra cancer
MONDO:0004243	vulvar proximal-type epithelioid sarcoma
MONDO:0004244	proximal-type epithelioid sarcoma
MONDO:0004245	ependymal tumor of brain
MONDO:0004248	pediatric infratentorial ependymoma
MONDO:0004249	pediatric supratentorial ependymoma
MONDO:0004257	childhood central nervous system mixed germ cell tumor
MONDO:0004259	endocervical carcinoma
MONDO:0004263	pediatric infratentorial ependymoblastoma
MONDO:0004266	anal gland adenocarcinoma
MONDO:0004269	breast cystic hypersecretory carcinoma
MONDO:0004274	mixed epithelial/mesenchymal metaplastic breast carcinoma
MONDO:0004275	osteosarcoma arising in bone Paget disease
MONDO:0004278	infiltrating bladder urothelial carcinoma sarcomatoid variant
MONDO:0004281	vulvar eccrine porocarcinoma
MONDO:0004283	vulvar clear cell hidradenocarcinoma
MONDO:0004285	pancreatic intraductal papillary-mucinous carcinoma
MONDO:0004286	pancreatic intraductal papillary-mucinous neoplasm
MONDO:0004287	pancreatic foamy gland adenocarcinoma
MONDO:0004288	scirrhous breast carcinoma
MONDO:0004289	glottis verrucous carcinoma
MONDO:0004290	subglottis verrucous carcinoma
MONDO:0004291	subglottis squamous cell carcinoma
MONDO:0004292	supraglottis verrucous carcinoma
MONDO:0004293	supraglottis squamous cell carcinoma
MONDO:0004294	gestational ovarian choriocarcinoma
MONDO:0004295	asbestos-related lung carcinoma
MONDO:0004296	cervical lymphoepithelioma-like carcinoma
MONDO:0004297	lymphoepithelioma-like thymic carcinoma
MONDO:0004299	infiltrating bladder lymphoepithelioma-like carcinoma
MONDO:0004301	fibrosarcomatous osteosarcoma
MONDO:0004306	childhood intracortical osteosarcoma
MONDO:0004307	sarcomatosis of the meninges
MONDO:0004308	meningeal sarcoma
MONDO:0004309	sarcomatosis
MONDO:0004310	adult embryonal tumor with multilayered rosettes, c19mc-altered
MONDO:0004311	carcinoma of Cowper glands
MONDO:0004314	malignant cutaneous granular cell skin tumor
MONDO:0004315	cholangiolocellular carcinoma
MONDO:0004316	acantholytic squamous cell skin carcinoma
MONDO:0004318	pulmonary type ovarian small cell carcinoma
MONDO:0004319	hypercalcemic type ovarian small cell carcinoma
MONDO:0004321	endometrial mixed adenocarcinoma
MONDO:0004322	non-gestational ovarian choriocarcinoma
MONDO:0004328	maxillary sinus adenocarcinoma
MONDO:0004329	pancreatic intraductal papillary-mucinous neoplasm with high grade dysplasia
MONDO:0004330	leptomeningeal sarcoma
MONDO:0004331	bladder urachal adenocarcinoma
MONDO:0004332	lung hilum cancer
MONDO:0004336	rectal signet ring cell adenocarcinoma
MONDO:0004337	perianal skin Paget disease
MONDO:0004338	retinal cell cancer
MONDO:0004340	mixed ductal-endocrine carcinoma of pancreas
MONDO:0004341	colloid carcinoma of the pancreas
MONDO:0004343	pancreatic acinar cell cystadenocarcinoma
MONDO:0004345	childhood malignant schwannoma
MONDO:0004346	signet ring cell intrahepatic cholangiocarcinoma
MONDO:0004349	retina lymphoma
MONDO:0004350	pediatric extraocular retinoblastoma
MONDO:0004351	intraocular lymphoma
MONDO:0004352	adult brain ependymoma
MONDO:0004354	neonatal leukemia
MONDO:0004355	childhood leukemia
MONDO:0004357	carcinoma of supraglottis
MONDO:0004358	subglottis carcinoma
MONDO:0004360	breast extraskeletal osteosarcoma
MONDO:0004361	adult spinal cord ependymoma
MONDO:0004363	adult spinal cord glioblastoma
MONDO:0004364	choroid necrotic melanoma
MONDO:0004365	necrotic uveal melanoma
MONDO:0004374	adult extraskeletal osteosarcoma
MONDO:0004378	pediatric cerebral ependymoblastoma
MONDO:0004379	female breast carcinoma
MONDO:0004380	dendritic cell sarcoma
MONDO:0004381	pancreatic intraductal papillary-mucinous neoplasm with low grade dysplasia
MONDO:0004383	adult central nervous system germinoma
MONDO:0004392	intracranial extraskeletal myxoid chondrosarcoma
MONDO:0004394	maxillary sinus squamous cell carcinoma
MONDO:0004401	testis refractory cancer
MONDO:0004402	testicular yolk sac tumor, glandular-alveolar pattern
MONDO:0004403	childhood precursor T-lymphoblastic lymphoma/leukemia
MONDO:0004405	Barrett adenocarcinoma
MONDO:0004406	adult central nervous system mixed germ cell tumor
MONDO:0004409	nipple duct carcinoma
MONDO:0004410	sarcomatoid penile squamous cell carcinoma
MONDO:0004412	malignant spiradenoma
MONDO:0004413	cervical non-keratinizing squamous cell carcinoma
MONDO:0004415	lipid-cell variant infiltrating bladder urothelial carcinoma
MONDO:0004416	plasmacytoid variant infiltrating bladder urothelial carcinoma
MONDO:0004417	nested variant infiltrating bladder urothelial carcinoma
MONDO:0004418	microcystic variant infiltrating bladder urothelial carcinoma
MONDO:0004419	lymphoma-like variant infiltrating bladder urothelial carcinoma
MONDO:0004420	breast malignant eccrine spiradenoma
MONDO:0004423	central nervous system extraskeletal osteosarcoma
MONDO:0004426	frontal convexity meningioma
MONDO:0004429	skin meningioma
MONDO:0004430	penis mixed squamous cell carcinoma
MONDO:0004433	papillary carcinoma of the penis
MONDO:0004435	liver fibrosarcoma
MONDO:0004436	ovarian myxoid liposarcoma
MONDO:0004438	sporadic breast cancer
MONDO:0004441	childhood ovarian embryonal carcinoma
MONDO:0004442	testis polyembryoma
MONDO:0004444	bladder tubulo-cystic clear cell adenocarcinoma
MONDO:0004445	bladder papillary clear cell adenocarcinoma
MONDO:0004451	sarcomatous intrahepatic cholangiocarcinoma
MONDO:0004452	childhood central nervous system germinoma
MONDO:0004453	testicular yolk sac tumor, myxomatous pattern
MONDO:0004454	cellular congenital mesoblastic nephroma
MONDO:0004455	classic congenital mesoblastic nephroma
MONDO:0004458	bladder mixed adenocarcinoma
MONDO:0004459	bladder hepatoid adenocarcinoma
MONDO:0004463	cellular phase chronic idiopathic myelofibrosis
MONDO:0004465	periampullary adenocarcinoma
MONDO:0004468	anal canal Paget disease
MONDO:0004469	pseudovascular skin squamous cell carcinoma
MONDO:0004472	breast columnar cell mucinous carcinoma
MONDO:0004473	epiglottis cancer
MONDO:0004474	gallbladder lymphoma
MONDO:0004475	thymus clear cell carcinoma
MONDO:0004477	adrenal gland ganglioneuroblastoma
MONDO:0004479	malignant childhood germ cell neoplasm
MONDO:0004481	pancreatic intraductal papillary-mucinous neoplasm with an associated invasive carcinoma
MONDO:0004484	gallbladder melanoma
MONDO:0004489	fallopian tube gestational choriocarcinoma
MONDO:0004491	uterine corpus choriocarcinoma
MONDO:0004493	testicular yolk sac tumor, papillary pattern
MONDO:0004494	testicular yolk sac tumor, hepatoid pattern
MONDO:0004499	lung hilum carcinoma
MONDO:0004500	lung superior sulcus carcinoma
MONDO:0004504	penile urethral cancer
MONDO:0004510	inflammatory liposarcoma
MONDO:0004512	meningeal melanomatosis
MONDO:0004513	adult pleomorphic rhabdomyosarcoma
MONDO:0004516	bulbomembranous urethral cancer
MONDO:0004518	anterior urethra cancer
MONDO:0004520	intratubular embryonal carcinoma
MONDO:0004521	adult epithelioid sarcoma
MONDO:0004523	clear cell squamous cell skin carcinoma
MONDO:0004530	early invasive cervical adenocarcinoma
MONDO:0004532	auditory system cancer
MONDO:0004535	childhood choriocarcinoma of the ovary
MONDO:0004537	intestinal variant cervical mucinous adenocarcinoma
MONDO:0004538	endocervical type cervical mucinous adenocarcinoma
MONDO:0004539	aortic malignant tumor
MONDO:0004540	epithelioid malignant peripheral nerve sheath tumor
MONDO:0004541	pseudoglandular variant testicular seminoma
MONDO:0004542	cervical adenosquamous carcinoma, glassy cell variant
MONDO:0004543	enteric pattern testicular yolk sac tumor
MONDO:0004545	adult malignant schwannoma
MONDO:0004547	reticular pattern testicular yolk sac tumor
MONDO:0004550	malignant cornea melanoma
MONDO:0004552	microinvasive cervical squamous cell carcinoma
MONDO:0004556	carcinoma arising in nasal papillomatosis
MONDO:0004557	congenital fibrosarcoma
MONDO:0004559	malignant glandular tumor of peripheral nerve sheath
MONDO:0004561	retinal melanoma
MONDO:0004562	breast apocrine carcinoma in situ
MONDO:0004607	vallecula cancer
MONDO:0004608	oropharynx cancer
MONDO:0004611	soft palate cancer
MONDO:0004615	upper gum cancer
MONDO:0004621	upper lip cancer
MONDO:0004624	uvula cancer
MONDO:0004631	tongue cancer
MONDO:0004635	postcricoid region cancer
MONDO:0004636	lip carcinoma in situ
MONDO:0004637	aryepiglottic fold cancer
MONDO:0004638	lymphosarcoma
MONDO:0004641	skin carcinoma in situ
MONDO:0004642	tonsillar pillar cancer
MONDO:0004643	myeloid leukemia
MONDO:0004644	subacute monocytic leukemia
MONDO:0004645	cheek mucosa cancer
MONDO:0004647	in situ carcinoma
MONDO:0004650	malignant carotid body paraganglioma
MONDO:0004653	atypical chronic myeloid leukemia, BCR-ABL1 negative
MONDO:0004658	breast carcinoma in situ
MONDO:0004659	eye carcinoma in situ
MONDO:0004660	lung carcinoma in situ
MONDO:0004661	trachea carcinoma in situ
MONDO:0004663	colon carcinoma in situ
MONDO:0004667	sublingual gland cancer
MONDO:0004669	salivary gland cancer
MONDO:0004671	penis carcinoma in situ
MONDO:0004673	lower lip cancer
MONDO:0004682	retromolar area cancer
MONDO:0004685	Waldeyer's ring cancer
MONDO:0004690	tonsillar fossa cancer
MONDO:0004693	squamous carcinoma in situ
MONDO:0004695	liver lymphoma
MONDO:0004696	larynx carcinoma in situ
MONDO:0004698	intestine carcinoma in situ
MONDO:0004699	gastrointestinal lymphoma
MONDO:0004700	parotid gland cancer
MONDO:0004703	bladder carcinoma in situ
MONDO:0004707	anal canal carcinoma in situ
MONDO:0004708	esophagus carcinoma in situ
MONDO:0004710	uterus carcinoma in situ
MONDO:0004713	lower gum cancer
MONDO:0004715	liver carcinoma in situ
MONDO:0004716	stomach carcinoma in situ
MONDO:0004719	hard palate cancer
MONDO:0004724	submandibular gland cancer
MONDO:0004725	rectum carcinoma in situ
MONDO:0004727	vestibule of mouth cancer
MONDO:0004732	kidney carcinoma in situ
MONDO:0004733	pyriform sinus cancer
MONDO:0004749	myocardium cancer
MONDO:0004752	neurofibroma of the heart
MONDO:0004792	cancer of isthmus of fallopian tube
MONDO:0004815	osteosclerotic plasma cell myeloma
MONDO:0004817	non-secretory plasma cell myeloma
MONDO:0004819	indolent plasma cell myeloma
MONDO:0004829	Krukenberg carcinoma
MONDO:0004878	female breast upper-outer quadrant cancer
MONDO:0004942	orbit lymphoma
MONDO:0004943	orbit sarcoma
MONDO:0004950	gastric carcinoma
MONDO:0004953	invasive ductal breast carcinoma
MONDO:0004956	metastatic prostate carcinoma
MONDO:0004957	mucinous adenocarcinoma
MONDO:0004958	oral cavity squamous cell carcinoma
MONDO:0004961	stage I endometrioid carcinoma
MONDO:0004962	stage II endometrioid carcinoma
MONDO:0004965	acinar cell carcinoma
MONDO:0004970	adenocarcinoma
MONDO:0004971	adenoid cystic carcinoma
MONDO:0004973	adenosquamous lung carcinoma
MONDO:0004984	basal-like breast carcinoma
MONDO:0004986	urinary bladder carcinoma
MONDO:0004988	breast adenocarcinoma
MONDO:0004989	breast carcinoma
MONDO:0004990	breast tumor luminal A or B
MONDO:0004991	minimally invasive lung adenocarcinoma
MONDO:0004992	cancer
MONDO:0004993	carcinoma
MONDO:0004996	childhood acute myeloid leukemia
MONDO:0005004	clear cell adenocarcinoma
MONDO:0005005	clear cell renal carcinoma
MONDO:0005006	clear cell sarcoma of kidney
MONDO:0005007	colon mucinous adenocarcinoma
MONDO:0005008	colorectal adenocarcinoma
MONDO:0005012	cutaneous melanoma
